"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 02 12:11:11 GMT 2024","Sun Jun 02 12:11:12 GMT 2024","260","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingIdShouldNotBeCreated","projectWithAlreadyExistingIdShouldNotBeCreated",""
"broken","Sun Jun 02 12:11:28 GMT 2024","Sun Jun 02 12:11:30 GMT 2024","2126","UI Suite","UI Test","com.teamcity.ui.CreateNewBuildTest","com.teamcity.ui.CreateNewBuildTest","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject",""
"passed","Sun Jun 02 12:11:12 GMT 2024","Sun Jun 02 12:11:12 GMT 2024","178","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated",""
"broken","Sun Jun 02 12:11:12 GMT 2024","Sun Jun 02 12:11:12 GMT 2024","183","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingNameShouldNotBeCreated","projectWithAlreadyExistingNameShouldNotBeCreated",""
"broken","Sun Jun 02 12:11:10 GMT 2024","Sun Jun 02 12:11:10 GMT 2024","90","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"broken","Sun Jun 02 12:11:14 GMT 2024","Sun Jun 02 12:11:14 GMT 2024","135","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialSymbolsInNameCanBeCreated","projectWithSpecialSymbolsInNameCanBeCreated",""
"passed","Sun Jun 02 12:11:11 GMT 2024","Sun Jun 02 12:11:11 GMT 2024","96","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"broken","Sun Jun 02 12:11:14 GMT 2024","Sun Jun 02 12:11:14 GMT 2024","125","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Sun Jun 02 12:11:16 GMT 2024","Sun Jun 02 12:11:16 GMT 2024","128","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithoutProjectShouldNotBeCreated","buildConfigurationWithoutProjectShouldNotBeCreated",""
"passed","Sun Jun 02 12:11:13 GMT 2024","Sun Jun 02 12:11:13 GMT 2024","127","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialCharactersInIDShouldNotBeCreated","projectWithSpecialCharactersInIDShouldNotBeCreated",""
"passed","Sun Jun 02 12:11:13 GMT 2024","Sun Jun 02 12:11:13 GMT 2024","117","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIdLongerThanMaxLengthShouldNotBeCreated","projectWithIdLongerThanMaxLengthShouldNotBeCreated",""
"broken","Sun Jun 02 12:11:10 GMT 2024","Sun Jun 02 12:11:11 GMT 2024","282","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"passed","Sun Jun 02 12:08:09 GMT 2024","Sun Jun 02 12:09:06 GMT 2024","56986","Surefire suite","Surefire test","com.teamcity.ui.SetupTest","com.teamcity.ui.SetupTest","startUpTest","startUpTest",""
