"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jun 02 12:44:55 GMT 2024","Sun Jun 02 12:44:55 GMT 2024","129","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithIDLongerThanMaxLengthShouldNotBeCreated","buildConfigurationWithIDLongerThanMaxLengthShouldNotBeCreated",""
"passed","Sun Jun 02 12:43:51 GMT 2024","Sun Jun 02 12:44:31 GMT 2024","39686","Surefire suite","Surefire test","com.teamcity.ui.SetupAgentTest","com.teamcity.ui.SetupAgentTest","startUpAgentTest","startUpAgentTest",""
"passed","Sun Jun 02 12:44:51 GMT 2024","Sun Jun 02 12:44:52 GMT 2024","250","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingNameShouldNotBeCreated","projectWithAlreadyExistingNameShouldNotBeCreated",""
"passed","Sun Jun 02 12:44:54 GMT 2024","Sun Jun 02 12:44:54 GMT 2024","117","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Sun Jun 02 12:44:53 GMT 2024","Sun Jun 02 12:44:53 GMT 2024","129","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialSymbolsInNameCanBeCreated","projectWithSpecialSymbolsInNameCanBeCreated",""
"failed","Sun Jun 02 12:44:56 GMT 2024","Sun Jun 02 12:45:10 GMT 2024","13720","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProject","authorizedUserShouldBeAbleToCreateNewProject",""
"passed","Sun Jun 02 12:44:50 GMT 2024","Sun Jun 02 12:44:50 GMT 2024","125","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"failed","Sun Jun 02 12:44:49 GMT 2024","Sun Jun 02 12:44:50 GMT 2024","506","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"passed","Sun Jun 02 12:44:50 GMT 2024","Sun Jun 02 12:44:50 GMT 2024","105","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"failed","Sun Jun 02 12:44:52 GMT 2024","Sun Jun 02 12:44:52 GMT 2024","126","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIdLongerThanMaxLengthShouldNotBeCreated","projectWithIdLongerThanMaxLengthShouldNotBeCreated",""
