"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 02 13:07:49 GMT 2024","Sun Jun 02 13:07:49 GMT 2024","141","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithSpecialSymbolsInNameCanBeCreated","buildConfigurationWithSpecialSymbolsInNameCanBeCreated",""
"passed","Sun Jun 02 13:07:46 GMT 2024","Sun Jun 02 13:07:46 GMT 2024","181","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingNameShouldNotBeCreated","projectWithAlreadyExistingNameShouldNotBeCreated",""
"passed","Sun Jun 02 13:07:45 GMT 2024","Sun Jun 02 13:07:45 GMT 2024","126","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"passed","Sun Jun 02 13:07:45 GMT 2024","Sun Jun 02 13:07:45 GMT 2024","76","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"failed","Sun Jun 02 13:07:50 GMT 2024","Sun Jun 02 13:08:03 GMT 2024","12547","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProject","authorizedUserShouldBeAbleToCreateNewProject",""
"passed","Sun Jun 02 13:07:47 GMT 2024","Sun Jun 02 13:07:47 GMT 2024","137","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated",""
"passed","Sun Jun 02 13:04:44 GMT 2024","Sun Jun 02 13:05:41 GMT 2024","57213","Surefire suite","Surefire test","com.teamcity.ui.SetupTest","com.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"passed","Sun Jun 02 13:07:48 GMT 2024","Sun Jun 02 13:07:48 GMT 2024","79","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialSymbolsInNameCanBeCreated","projectWithSpecialSymbolsInNameCanBeCreated",""
"failed","Sun Jun 02 13:07:44 GMT 2024","Sun Jun 02 13:07:45 GMT 2024","450","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"passed","Sun Jun 02 13:07:39 GMT 2024","Sun Jun 02 13:07:44 GMT 2024","5364","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"passed","Sun Jun 02 13:07:47 GMT 2024","Sun Jun 02 13:07:47 GMT 2024","111","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIdLongerThanMaxLengthShouldNotBeCreated","projectWithIdLongerThanMaxLengthShouldNotBeCreated",""
"passed","Sun Jun 02 13:06:50 GMT 2024","Sun Jun 02 13:07:27 GMT 2024","37461","Surefire suite","Surefire test","com.teamcity.ui.SetupAgentTest","com.teamcity.ui.SetupAgentTest","startUpAgentTest","startUpAgentTest",""
"passed","Sun Jun 02 13:08:03 GMT 2024","Sun Jun 02 13:08:17 GMT 2024","14482","UI Suite","UI Test","com.teamcity.ui.CreateNewBuildTest","com.teamcity.ui.CreateNewBuildTest","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject",""
"passed","Sun Jun 02 13:07:47 GMT 2024","Sun Jun 02 13:07:47 GMT 2024","94","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialCharactersInIDShouldNotBeCreated","projectWithSpecialCharactersInIDShouldNotBeCreated",""
"passed","Sun Jun 02 13:07:48 GMT 2024","Sun Jun 02 13:07:48 GMT 2024","117","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithValidIdWithMaxLengthCanBeCreated","projectWithValidIdWithMaxLengthCanBeCreated",""
"passed","Sun Jun 02 13:07:48 GMT 2024","Sun Jun 02 13:07:48 GMT 2024","118","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Sun Jun 02 13:07:49 GMT 2024","Sun Jun 02 13:07:49 GMT 2024","124","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithIDLongerThanMaxLengthShouldNotBeCreated","buildConfigurationWithIDLongerThanMaxLengthShouldNotBeCreated",""
"passed","Sun Jun 02 13:07:50 GMT 2024","Sun Jun 02 13:07:50 GMT 2024","95","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithoutProjectShouldNotBeCreated","buildConfigurationWithoutProjectShouldNotBeCreated",""
"passed","Sun Jun 02 13:07:46 GMT 2024","Sun Jun 02 13:07:46 GMT 2024","157","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingIdShouldNotBeCreated","projectWithAlreadyExistingIdShouldNotBeCreated",""
