"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 02 11:39:31 GMT 2024","Sun Jun 02 11:39:31 GMT 2024","115","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"broken","Sun Jun 02 11:39:35 GMT 2024","Sun Jun 02 11:39:35 GMT 2024","71","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"broken","Sun Jun 02 11:39:26 GMT 2024","Sun Jun 02 11:39:30 GMT 2024","4176","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"broken","Sun Jun 02 11:39:30 GMT 2024","Sun Jun 02 11:39:31 GMT 2024","109","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"broken","Sun Jun 02 11:39:37 GMT 2024","Sun Jun 02 11:39:37 GMT 2024","76","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProject","authorizedUserShouldBeAbleToCreateNewProject",""
"broken","Sun Jun 02 11:39:35 GMT 2024","Sun Jun 02 11:39:35 GMT 2024","93","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithIDLongerThanMaxLengthShouldNotBeCreated","buildConfigurationWithIDLongerThanMaxLengthShouldNotBeCreated",""
"broken","Sun Jun 02 11:39:32 GMT 2024","Sun Jun 02 11:39:32 GMT 2024","124","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingNameShouldNotBeCreated","projectWithAlreadyExistingNameShouldNotBeCreated",""
"broken","Sun Jun 02 11:39:34 GMT 2024","Sun Jun 02 11:39:34 GMT 2024","94","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialSymbolsInNameCanBeCreated","projectWithSpecialSymbolsInNameCanBeCreated",""
"broken","Sun Jun 02 11:39:11 GMT 2024","Sun Jun 02 11:39:15 GMT 2024","4057","Surefire suite","Surefire test","com.teamcity.ui.SetupAgentTest","com.teamcity.ui.SetupAgentTest","startUpAgentTest","startUpAgentTest",""
"passed","Sun Jun 02 11:37:08 GMT 2024","Sun Jun 02 11:38:04 GMT 2024","56351","Surefire suite","Surefire test","com.teamcity.ui.SetupTest","com.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"broken","Sun Jun 02 11:39:31 GMT 2024","Sun Jun 02 11:39:31 GMT 2024","99","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"broken","Sun Jun 02 11:39:32 GMT 2024","Sun Jun 02 11:39:33 GMT 2024","136","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated",""
"broken","Sun Jun 02 11:39:37 GMT 2024","Sun Jun 02 11:39:37 GMT 2024","135","UI Suite","UI Test","com.teamcity.ui.CreateNewBuildTest","com.teamcity.ui.CreateNewBuildTest","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject",""
"broken","Sun Jun 02 11:39:33 GMT 2024","Sun Jun 02 11:39:33 GMT 2024","87","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIdLongerThanMaxLengthShouldNotBeCreated","projectWithIdLongerThanMaxLengthShouldNotBeCreated",""
"broken","Sun Jun 02 11:39:36 GMT 2024","Sun Jun 02 11:39:36 GMT 2024","60","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithoutProjectShouldNotBeCreated","buildConfigurationWithoutProjectShouldNotBeCreated",""
"broken","Sun Jun 02 11:39:36 GMT 2024","Sun Jun 02 11:39:36 GMT 2024","71","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithSpecialSymbolsInNameCanBeCreated","buildConfigurationWithSpecialSymbolsInNameCanBeCreated",""
"broken","Sun Jun 02 11:39:33 GMT 2024","Sun Jun 02 11:39:33 GMT 2024","105","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialCharactersInIDShouldNotBeCreated","projectWithSpecialCharactersInIDShouldNotBeCreated",""
"broken","Sun Jun 02 11:39:32 GMT 2024","Sun Jun 02 11:39:32 GMT 2024","145","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingIdShouldNotBeCreated","projectWithAlreadyExistingIdShouldNotBeCreated",""
"broken","Sun Jun 02 11:39:34 GMT 2024","Sun Jun 02 11:39:34 GMT 2024","105","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithValidIdWithMaxLengthCanBeCreated","projectWithValidIdWithMaxLengthCanBeCreated",""
