"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 02 11:56:11 GMT 2024","Sun Jun 02 11:56:12 GMT 2024","90","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIdLongerThanMaxLengthShouldNotBeCreated","projectWithIdLongerThanMaxLengthShouldNotBeCreated",""
"broken","Sun Jun 02 11:55:49 GMT 2024","Sun Jun 02 11:55:53 GMT 2024","3681","Surefire suite","Surefire test","com.teamcity.ui.SetupAgentTest","com.teamcity.ui.SetupAgentTest","startUpAgentTest","startUpAgentTest",""
"broken","Sun Jun 02 11:56:15 GMT 2024","Sun Jun 02 11:56:15 GMT 2024","76","UI Suite","UI Test","com.teamcity.ui.CreateNewBuildTest","com.teamcity.ui.CreateNewBuildTest","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject",""
"broken","Sun Jun 02 11:56:04 GMT 2024","Sun Jun 02 11:56:09 GMT 2024","4934","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"broken","Sun Jun 02 11:56:11 GMT 2024","Sun Jun 02 11:56:11 GMT 2024","109","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated",""
"broken","Sun Jun 02 11:56:09 GMT 2024","Sun Jun 02 11:56:09 GMT 2024","132","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"broken","Sun Jun 02 11:56:14 GMT 2024","Sun Jun 02 11:56:14 GMT 2024","111","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithoutProjectShouldNotBeCreated","buildConfigurationWithoutProjectShouldNotBeCreated",""
"passed","Sun Jun 02 11:53:52 GMT 2024","Sun Jun 02 11:54:45 GMT 2024","53545","Surefire suite","Surefire test","com.teamcity.ui.SetupTest","com.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"broken","Sun Jun 02 11:56:10 GMT 2024","Sun Jun 02 11:56:10 GMT 2024","138","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"broken","Sun Jun 02 11:56:14 GMT 2024","Sun Jun 02 11:56:14 GMT 2024","80","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithSpecialSymbolsInNameCanBeCreated","buildConfigurationWithSpecialSymbolsInNameCanBeCreated",""
"broken","Sun Jun 02 11:56:12 GMT 2024","Sun Jun 02 11:56:12 GMT 2024","122","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialSymbolsInNameCanBeCreated","projectWithSpecialSymbolsInNameCanBeCreated",""
"broken","Sun Jun 02 11:56:13 GMT 2024","Sun Jun 02 11:56:14 GMT 2024","116","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithIDLongerThanMaxLengthShouldNotBeCreated","buildConfigurationWithIDLongerThanMaxLengthShouldNotBeCreated",""
"broken","Sun Jun 02 11:56:15 GMT 2024","Sun Jun 02 11:56:15 GMT 2024","51","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProject","authorizedUserShouldBeAbleToCreateNewProject",""
"broken","Sun Jun 02 11:56:13 GMT 2024","Sun Jun 02 11:56:13 GMT 2024","89","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"broken","Sun Jun 02 11:56:10 GMT 2024","Sun Jun 02 11:56:11 GMT 2024","95","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingIdShouldNotBeCreated","projectWithAlreadyExistingIdShouldNotBeCreated",""
"broken","Sun Jun 02 11:56:12 GMT 2024","Sun Jun 02 11:56:12 GMT 2024","157","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialCharactersInIDShouldNotBeCreated","projectWithSpecialCharactersInIDShouldNotBeCreated",""
"passed","Sun Jun 02 11:56:10 GMT 2024","Sun Jun 02 11:56:10 GMT 2024","128","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"broken","Sun Jun 02 11:56:13 GMT 2024","Sun Jun 02 11:56:13 GMT 2024","63","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithValidIdWithMaxLengthCanBeCreated","projectWithValidIdWithMaxLengthCanBeCreated",""
"broken","Sun Jun 02 11:56:11 GMT 2024","Sun Jun 02 11:56:11 GMT 2024","64","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingNameShouldNotBeCreated","projectWithAlreadyExistingNameShouldNotBeCreated",""
