"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 02 10:43:00 GMT 2024","Sun Jun 02 10:43:00 GMT 2024","72","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"passed","Sun Jun 02 10:43:01 GMT 2024","Sun Jun 02 10:43:01 GMT 2024","83","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialCharactersInIDShouldNotBeCreated","projectWithSpecialCharactersInIDShouldNotBeCreated",""
"passed","Sun Jun 02 10:39:15 GMT 2024","Sun Jun 02 10:40:11 GMT 2024","56171","Surefire suite","Surefire test","com.teamcity.ui.SetupTest","com.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"passed","Sun Jun 02 10:43:02 GMT 2024","Sun Jun 02 10:43:02 GMT 2024","120","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Sun Jun 02 10:43:18 GMT 2024","Sun Jun 02 10:43:27 GMT 2024","8980","UI Suite","UI Test","com.teamcity.ui.CreateNewBuildTest","com.teamcity.ui.CreateNewBuildTest","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject",""
"passed","Sun Jun 02 10:43:00 GMT 2024","Sun Jun 02 10:43:00 GMT 2024","62","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"passed","Sun Jun 02 10:42:56 GMT 2024","Sun Jun 02 10:42:59 GMT 2024","2928","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"passed","Sun Jun 02 10:43:03 GMT 2024","Sun Jun 02 10:43:03 GMT 2024","99","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithoutProjectShouldNotBeCreated","buildConfigurationWithoutProjectShouldNotBeCreated",""
"passed","Sun Jun 02 10:43:04 GMT 2024","Sun Jun 02 10:43:18 GMT 2024","13876","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProject","authorizedUserShouldBeAbleToCreateNewProject",""
"failed","Sun Jun 02 10:42:59 GMT 2024","Sun Jun 02 10:42:59 GMT 2024","323","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"passed","Sun Jun 02 10:43:03 GMT 2024","Sun Jun 02 10:43:03 GMT 2024","119","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithSpecialSymbolsInNameCanBeCreated","buildConfigurationWithSpecialSymbolsInNameCanBeCreated",""
"passed","Sun Jun 02 10:41:14 GMT 2024","Sun Jun 02 10:41:55 GMT 2024","40677","Surefire suite","Surefire test","com.teamcity.ui.SetupAgentTest","com.teamcity.ui.SetupAgentTest","startUpAgentTest","startUpAgentTest",""
"passed","Sun Jun 02 10:43:02 GMT 2024","Sun Jun 02 10:43:02 GMT 2024","81","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithValidIdWithMaxLengthCanBeCreated","projectWithValidIdWithMaxLengthCanBeCreated",""
"passed","Sun Jun 02 10:43:01 GMT 2024","Sun Jun 02 10:43:01 GMT 2024","109","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated",""
"passed","Sun Jun 02 10:43:00 GMT 2024","Sun Jun 02 10:43:00 GMT 2024","110","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingIdShouldNotBeCreated","projectWithAlreadyExistingIdShouldNotBeCreated",""
"passed","Sun Jun 02 10:43:00 GMT 2024","Sun Jun 02 10:43:00 GMT 2024","134","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingNameShouldNotBeCreated","projectWithAlreadyExistingNameShouldNotBeCreated",""
"passed","Sun Jun 02 10:43:01 GMT 2024","Sun Jun 02 10:43:02 GMT 2024","80","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialSymbolsInNameCanBeCreated","projectWithSpecialSymbolsInNameCanBeCreated",""
