"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 02 12:21:53 GMT 2024","Sun Jun 02 12:21:53 GMT 2024","92","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithoutProjectShouldNotBeCreated","buildConfigurationWithoutProjectShouldNotBeCreated",""
"broken","Sun Jun 02 12:21:51 GMT 2024","Sun Jun 02 12:21:51 GMT 2024","143","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialSymbolsInNameCanBeCreated","projectWithSpecialSymbolsInNameCanBeCreated",""
"broken","Sun Jun 02 12:21:48 GMT 2024","Sun Jun 02 12:21:48 GMT 2024","83","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"broken","Sun Jun 02 12:21:44 GMT 2024","Sun Jun 02 12:21:48 GMT 2024","3977","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"passed","Sun Jun 02 12:21:51 GMT 2024","Sun Jun 02 12:21:51 GMT 2024","106","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialCharactersInIDShouldNotBeCreated","projectWithSpecialCharactersInIDShouldNotBeCreated",""
"broken","Sun Jun 02 12:22:05 GMT 2024","Sun Jun 02 12:22:07 GMT 2024","2005","UI Suite","UI Test","com.teamcity.ui.CreateNewBuildTest","com.teamcity.ui.CreateNewBuildTest","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject",""
"failed","Sun Jun 02 12:21:54 GMT 2024","Sun Jun 02 12:22:05 GMT 2024","11628","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProject","authorizedUserShouldBeAbleToCreateNewProject",""
"passed","Sun Jun 02 12:20:53 GMT 2024","Sun Jun 02 12:21:32 GMT 2024","39130","Surefire suite","Surefire test","com.teamcity.ui.SetupAgentTest","com.teamcity.ui.SetupAgentTest","startUpAgentTest","startUpAgentTest",""
"broken","Sun Jun 02 12:21:49 GMT 2024","Sun Jun 02 12:21:49 GMT 2024","161","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingIdShouldNotBeCreated","projectWithAlreadyExistingIdShouldNotBeCreated",""
"broken","Sun Jun 02 12:21:52 GMT 2024","Sun Jun 02 12:21:52 GMT 2024","102","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Sun Jun 02 12:21:50 GMT 2024","Sun Jun 02 12:21:50 GMT 2024","116","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated",""
"passed","Sun Jun 02 12:18:47 GMT 2024","Sun Jun 02 12:19:43 GMT 2024","56300","Surefire suite","Surefire test","com.teamcity.ui.SetupTest","com.teamcity.ui.SetupTest","startUpTest","startUpTest",""
